Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Grades
22,F,Some College,60000,B,80,Medium,14,Law,Private,Medium,Low,Yes,High,High,Medium,Negative,High,84,No,4,Balanced,Medium,6,Yes,Neutral,Yes,No,Auditory,Yes,No,Medium,4,Medium,B
20,M,Graduate,75000,B,81,Low,5,Engineering,Private,High,High,Yes,Low,Low,Medium,Negative,High,66,Yes,5,Unhealthy,High,2,Yes,Positive,No,Yes,Auditory,Yes,No,Medium,2,Medium,C
22,M,College,40000,B,72,Low,17,Science,Public,Low,Medium,Yes,Medium,High,Medium,Positive,High,30,Yes,5,Balanced,High,5,Yes,Negative,Yes,Yes,Visual,Yes,No,Low,6,High,A
19,M,Graduate,40000,B,92,High,10,Arts,Private,Low,High,Yes,Medium,Medium,Low,Negative,Low,41,Yes,8,Balanced,High,10,Yes,Positive,No,No,Auditory,Yes,No,High,3,Medium,C
20,M,College,40000,C,80,Medium,10,Business,Public,Medium,Medium,No,High,Medium,Medium,Neutral,Low,80,No,6,Balanced,High,7,No,Negative,No,No,Visual,Yes,No,Medium,2,High,C
20,F,Some College,75000,B,70,Medium,13,Engineering,Public,Low,High,No,Low,Medium,Medium,Positive,Low,33,No,5,Healthy,Medium,8,No,Neutral,No,No,Auditory,Yes,Yes,High,2,Low,B
21,F,Some College,50000,B,76,Low,10,Arts,Public,High,Low,Yes,High,Low,Medium,Positive,Low,99,Yes,9,Unhealthy,Medium,10,No,Neutral,No,Yes,Visual,Yes,Yes,Medium,3,Low,B
22,M,College,50000,A,76,Medium,16,Business,Public,High,High,No,Low,High,Medium,Neutral,Low,68,Yes,5,Healthy,Medium,5,No,Positive,No,Yes,Kinesthetic,Yes,No,High,3,High,B
22,M,High School,60000,B,71,High,10,Arts,Public,Low,High,Yes,Medium,Low,Medium,Negative,High,77,No,9,Healthy,Low,8,Yes,Negative,No,Yes,Auditory,No,Yes,Low,2,High,A
18,F,Some College,50000,C,72,Medium,13,Business,Public,Low,High,Yes,Low,High,Medium,Neutral,Medium,41,Yes,7,Balanced,High,4,No,Positive,No,No,Auditory,No,No,Medium,6,Medium,B
18,F,College,75000,C,96,High,5,Science,Public,Medium,Medium,High,Low,Low,High,Neutral,High,55,No,4,Balanced,High,9,Yes,Neutral,No,No,Visual,Yes,Yes,High,3,Medium,A
22,F,Some College,30000,A,94,Low,20,Science,Public,Medium,Medium,No,Low,High,Low,Positive,Medium,65,Yes,6,Unhealthy,Low,5,No,Positive,No,Yes,Visual,Yes,No,High,5,High,C
22,F,Graduate,40000,A,76,Low,16,Engineering,Private,Low,Low,No,Low,High,Medium,Negative,High,22,No,4,Healthy,Low,6,No,Positive,Yes,No,Visual,Yes,Yes,Medium,4,Medium,A
21,F,High School,50000,C,76,Medium,17,Science,Public,High,Medium,Yes,High,High,High,Positive,Low,52,Yes,8,Unhealthy,Medium,6,Yes,Negative,No,Yes,Auditory,No,Yes,Medium,1,Low,C
18,F,College,40000,A,84,Low,5,Arts,Public,High,High,Yes,Medium,Low,Medium,Neutral,High,41,No,6,Balanced,Medium,6,No,Negative,No,No,Auditory,Yes,No,Low,2,Medium,A
20,F,Graduate,75000,A,97,High,16,Medicine,Private,Medium,Low,Yes,Low,High,Medium,Negative,High,92,Yes,5,Balanced,Low,5,Yes,Neutral,Yes,Yes,Auditory,No,No,Medium,3,High,A
22,F,High School,75000,A,81,Low,5,Science,Public,High,High,Yes,Low,Low,High,Neutral,High,33,Yes,6,Balanced,High,5,Yes,Neutral,Yes,No,Kinesthetic,No,Yes,Low,3,Low,A
21,M,High School,40000,C,98,High,17,Medicine,Public,Medium,High,No,Low,High,Low,Positive,Low,35,No,8,Healthy,Low,2,Yes,Negative,Yes,Yes,Kinesthetic,No,No,High,4,Medium,A
22,M,College,50000,B,81,High,15,Engineering,Public,Medium,Low,No,Medium,High,Low,Positive,High,42,No,5,Balanced,High,8,Yes,Positive,Yes,Yes,Kinesthetic,Yes,No,Low,6,High,C
19,M,College,60000,C,81,Low,15,Medicine,Public,High,Low,Yes,High,Medium,Low,Negative,Low,59,No,9,Balanced,High,4,No,Positive,No,No,Visual,Yes,No,High,5,Low,C
19,F,College,30000,A,88,High,8,Law,Private,Medium,Low,Yes,High,Low,Low,Positive,Low,35,No,5,Unhealthy,Medium,8,Yes,Neutral,No,Yes,Visual,No,Yes,Medium,2,Medium,A
22,F,High School,30000,A,84,Medium,17,Science,Public,High,Low,Yes,Medium,Medium,Low,Neutral,High,35,No,8,Healthy,Medium,4,No,Neutral,Yes,Yes,Auditory,Yes,No,Low,5,Medium,C
19,M,Some College,40000,B,100,High,18,Arts,Public,Medium,Low,No,Medium,Medium,High,Neutral,Medium,85,No,5,Healthy,Low,10,No,Negative,No,No,Auditory,Yes,Yes,Medium,6,Low,B
22,M,High School,75000,A,100,Medium,14,Arts,Private,High,Low,Yes,Low,Medium,Low,Neutral,High,87,No,7,Unhealthy,High,9,Yes,Negative,No,Yes,Visual,No,No,High,6,Medium,C
22,F,High School,50000,A,91,Low,13,Law,Public,Medium,Medium,Yes,Low,High,Medium,Neutral,High,73,No,5,Unhealthy,High,9,No,Negative,No,No,Auditory,No,No,Medium,4,Low,C
19,F,Graduate,30000,A,85,Low,14,Science,Private,Medium,Low,No,Medium,Medium,Low,Neutral,Medium,41,No,7,Balanced,Medium,5,Yes,Neutral,Yes,Yes,Visual,Yes,Yes,Low,4,Medium,B
19,M,Graduate,40000,C,80,Low,8,Engineering,Public,Low,High,No,Low,High,Medium,Negative,High,41,No,7,Unhealthy,High,8,Yes,Negative,No,No,Visual,Yes,No,High,4,Medium,C
18,F,Some College,30000,C,73,Low,7,Medicine,Public,Medium,Medium,No,Medium,High,Medium,Negative,High,50,No,7,Balanced,Low,2,Yes,Negative,Yes,Yes,Kinesthetic,No,No,High,1,High,C
18,M,Some College,40000,A,75,High,17,Arts,Public,Low,Low,Yes,Medium,High,Medium,Negative,Low,20,No,5,Balanced,High,2,No,Negative,No,Yes,Visual,Yes,No,Low,6,Low,C
22,M,College,75000,A,94,Medium,12,Engineering,Public,Medium,High,Yes,Low,Medium,Low,Neutral,Medium,70,Yes,6,Balanced,High,3,No,Positive,No,Yes,Visual,No,No,Medium,4,High,A
20,M,Graduate,50000,A,93,Low,18,Engineering,Public,Medium,Low,Yes,Low,Low,Medium,Negative,Low,58,Yes,5,Balanced,High,5,Yes,Neutral,No,No,Auditory,Yes,Yes,Low,4,Medium,B
22,F,Some College,40000,A,78,High,17,Law,Private,High,Medium,Yes,Low,High,Medium,Positive,Low,20,No,4,Balanced,High,5,Yes,Negative,Yes,Yes,Visual,Yes,No,Low,2,Medium,C
21,M,Some College,60000,A,90,Low,17,Medicine,Private,Low,Low,No,Low,Low,Medium,Negative,High,81,Yes,5,Unhealthy,High,8,Yes,Negative,No,No,Auditory,Yes,No,Medium,5,Low,B
20,F,Graduate,40000,B,76,High,6,Law,Private,Medium,Medium,No,Low,High,Medium,Neutral,Low,43,Yes,5,Unhealthy,Medium,2,Yes,Positive,No,No,Auditory,No,No,High,6,High,B
21,M,Graduate,40000,B,97,High,14,Law,Public,Low,Low,No,Medium,High,High,Neutral,Low,30,No,9,Healthy,High,4,No,Negative,Yes,No,Visual,Yes,No,High,3,Medium,A
19,F,Graduate,30000,C,83,Low,19,Law,Public,Medium,Low,No,High,Medium,Low,Neutral,High,54,Yes,6,Healthy,Medium,4,Yes,Neutral,Yes,No,Visual,No,No,Low,3,Low,B
20,M,High School,75000,C,80,Medium,14,Law,Private,High,Low,Yes,Low,Medium,Medium,Negative,Medium,67,No,9,Unhealthy,Low,6,Yes,Positive,No,Yes,Auditory,Yes,Yes,High,1,Medium,B
19,M,Graduate,50000,C,72,Low,18,Law,Private,Medium,Low,No,High,High,High,Positive,Low,97,No,4,Healthy,Low,6,No,Negative,Yes,Yes,Kinesthetic,Yes,No,Medium,6,High,C
18,M,Some College,50000,B,81,Medium,8,Science,Private,High,Low,Yes,Medium,High,Medium,Neutral,High,92,No,7,Balanced,Low,5,Yes,Negative,No,No,Auditory,Yes,Yes,Medium,2,High,C
18,M,High School,30000,A,97,Low,15,Medicine,Public,Low,Medium,Yes,Low,High,Medium,Neutral,High,22,No,9,Healthy,Low,2,Yes,Positive,Yes,Yes,Visual,No,No,Medium,2,High,C
20,F,College,75000,B,73,Medium,12,Medicine,Private,High,Medium,No,High,Low,Low,Neutral,High,98,Yes,9,Healthy,Low,3,No,Negative,Yes,No,Kinesthetic,No,Yes,High,1,High,A
18,M,College,30000,A,85,Low,11,Law,Private,High,Medium,High,Medium,Low,High,Neutral,High,29,Yes,8,Balanced,Medium,7,Yes,Positive,Yes,Yes,Auditory,Yes,Yes,High,6,Medium,C
20,M,Some College,40000,B,96,Low,18,Medicine,Public,Medium,Low,Yes,Medium,High,Medium,Positive,Low,41,No,9,Healthy,Low,9,Yes,Neutral,Yes,Yes,Visual,No,No,Medium,1,Low,C
18,M,Graduate,60000,A,73,Medium,18,Law,Private,Medium,Medium,Yes,Medium,Medium,High,Neutral,Low,31,Yes,7,Unhealthy,High,6,Yes,Positive,Yes,Yes,Visual,Yes,Yes,Low,3,Low,B
22,F,Some College,40000,C,81,Low,10,Law,Private,Medium,High,Yes,High,High,Low,Neutral,Medium,23,Yes,5,Balanced,Medium,4,Yes,Positive,Yes,Yes,Kinesthetic,Yes,No,High,3,High,A
20,F,High School,75000,C,90,Low,9,Engineering,Public,High,Low,Yes,Low,Medium,Low,Neutral,High,89,Yes,4,Balanced,High,3,No,Positive,Yes,Yes,Visual,No,Yes,High,5,High,B
22,M,Some College,40000,B,81,Medium,8,Science,Private,Medium,High,No,Low,High,High,Neutral,Low,51,No,5,Healthy,High,3,No,Neutral,Yes,Yes,Kinesthetic,Yes,Yes,Low,6,High,B
20,M,Some College,40000,B,77,Low,17,Science,Private,Low,Low,Yes,High,High,Low,Negative,Low,61,Yes,5,Balanced,Low,10,Yes,Negative,No,No,Auditory,No,No,Low,2,High,A
21,F,Graduate,30000,B,71,Medium,13,Engineering,Private,High,Low,Yes,Medium,Medium,Medium,Positive,Low,71,No,6,Unhealthy,Medium,8,No,Positive,No,Yes,Kinesthetic,Yes,No,Medium,2,High,B
19,M,Graduate,75000,A,85,Medium,11,Medicine,Private,Low,Low,Yes,High,Medium,Low,Neutral,Low,71,Yes,4,Balanced,Low,5,Yes,Positive,No,Yes,Visual,No,No,High,3,Low,B
22,F,Some College,40000,A,93,Medium,17,Engineering,Public,Medium,Medium,High,Low,Low,Medium,Neutral,High,72,Yes,7,Healthy,Low,2,No,Negative,Yes,No,Visual,No,No,Medium,1,Medium,B
22,F,Some College,50000,B,85,High,6,Science,Public,Low,High,High,Low,Low,Medium,Neutral,Low,58,Yes,4,Balanced,Low,7,Yes,Negative,Yes,No,Auditory,Yes,No,High,3,High,A
21,F,College,40000,C,100,Low,8,Engineering,Public,Medium,Medium,Yes,Medium,Medium,Low,Neutral,Low,62,No,4,Unhealthy,Medium,10,Yes,Positive,Yes,Yes,Auditory,No,No,Low,1,Low,B
18,F,High School,50000,A,76,Medium,16,Medicine,Private,High,Low,Yes,Medium,High,Low,Positive,Low,67,No,5,Balanced,High,2,Yes,Positive,Yes,Yes,Auditory,No,No,Medium,3,High,C
22,F,Graduate,60000,B,86,High,16,Science,Private,Medium,Low,No,Medium,Medium,Medium,Positive,Medium,63,Yes,4,Balanced,Low,10,No,Positive,No,Yes,Auditory,Yes,Yes,High,1,High,A
18,F,Graduate,60000,C,77,High,17,Medicine,Public,Low,Medium,No,Low,Medium,Low,Neutral,High,41,Yes,6,Balanced,High,7,No,Positive,No,No,Kinesthetic,No,No,Medium,1,Medium,A
20,F,College,40000,C,81,Medium,15,Engineering,Public,Low,Low,No,Low,Medium,High,Negative,Medium,55,No,9,Healthy,High,7,Yes,Negative,No,No,Visual,Yes,Yes,High,6,Low,B
22,F,College,50000,A,86,Medium,5,Science,Private,Low,Medium,No,Low,High,Medium,Neutral,High,46,Yes,7,Unhealthy,High,7,No,Positive,No,No,Visual,Yes,No,Low,4,Low,A
20,M,Graduate,50000,A,73,High,17,Arts,Public,Low,Low,Yes,Medium,Medium,Low,Positive,Low,74,No,9,Balanced,Medium,2,No,Neutral,No,Yes,Auditory,No,No,Medium,6,Medium,B
22,F,College,60000,C,99,Medium,19,Medicine,Private,High,Low,Yes,High,Medium,Medium,Negative,Low,87,No,4,Balanced,Low,3,Yes,Positive,No,Yes,Visual,Yes,No,Medium,3,Low,B
20,M,Some College,50000,C,82,Medium,7,Science,Public,Medium,Medium,Yes,Medium,Medium,Medium,Neutral,Medium,85,Yes,6,Balanced,Low,5,Yes,Negative,Yes,Yes,Auditory,No,No,Medium,5,Low,C
18,F,College,75000,C,97,Low,9,Law,Private,Low,Medium,No,Medium,High,High,Positive,Medium,37,Yes,5,Balanced,High,9,Yes,Neutral,Yes,Yes,Auditory,Yes,Yes,Low,4,High,B
19,F,Graduate,40000,B,75,Low,8,Medicine,Public,High,Low,No,Low,Medium,High,Neutral,High,33,No,4,Balanced,High,6,No,Neutral,No,No,Visual,Yes,No,High,4,Low,A
18,M,Some College,60000,A,83,Low,9,Law,Private,High,High,No,Low,Medium,Medium,Negative,Medium,71,Yes,9,Unhealthy,Low,6,No,Neutral,Yes,Yes,Kinesthetic,No,Yes,High,6,High,C
22,M,High School,40000,A,83,Medium,12,Science,Private,Low,Low,No,Medium,Medium,Low,Negative,Medium,43,Yes,6,Healthy,High,10,Yes,Positive,No,No,Visual,No,No,High,1,High,B
22,F,Some College,40000,B,71,Low,6,Law,Public,Low,High,No,Low,High,Medium,Positive,Low,21,No,7,Healthy,Medium,4,Yes,Neutral,Yes,No,Visual,No,Yes,Medium,3,Low,B
22,M,High School,60000,B,100,High,8,Arts,Public,Low,Medium,No,Medium,Low,Low,Negative,Low,41,Yes,5,Unhealthy,High,3,No,Positive,Yes,Yes,Auditory,Yes,Yes,Low,2,Low,B
21,M,College,30000,A,86,High,16,Arts,Private,Medium,High,No,High,Medium,High,Negative,Medium,34,Yes,8,Balanced,Low,2,Yes,Positive,Yes,Yes,Visual,Yes,Yes,High,3,Medium,C
22,M,Some College,75000,A,85,Medium,6,Medicine,Public,Low,High,Yes,Low,High,Medium,Negative,High,68,No,5,Unhealthy,High,3,Yes,Positive,No,Yes,Kinesthetic,Yes,Yes,Low,3,Medium,A
21,F,High School,50000,A,97,Medium,8,Engineering,Private,Low,Low,Yes,Low,Low,High,Positive,Medium,84,No,9,Healthy,Low,10,No,Positive,No,Yes,Kinesthetic,No,Yes,Medium,1,High,C
18,F,High School,50000,A,100,Medium,20,Medicine,Public,Medium,High,No,High,Medium,Low,Neutral,Medium,41,Yes,7,Balanced,Medium,9,Yes,Positive,No,Yes,Kinesthetic,No,Yes,Low,1,Medium,C
21,M,Some College,30000,B,82,Medium,17,Business,Public,Medium,High,No,Low,Medium,Medium,Neutral,High,25,No,6,Healthy,Low,2,No,Neutral,Yes,Yes,Visual,Yes,No,High,3,Low,C
20,M,Graduate,40000,A,77,Medium,5,Medicine,Public,Low,Medium,No,Low,High,High,Negative,Low,36,Yes,9,Healthy,High,2,No,Neutral,Yes,No,Auditory,No,Yes,High,2,Low,C
20,F,College,40000,B,90,Medium,5,Arts,Private,Medium,Medium,Yes,Medium,High,High,Neutral,High,92,Yes,4,Healthy,Low,9,Yes,Positive,No,No,Auditory,Yes,No,High,1,High,C
20,F,College,50000,C,72,High,9,Business,Public,High,High,Yes,Low,Low,Medium,Neutral,High,63,Yes,5,Balanced,Medium,6,Yes,Positive,Yes,No,Auditory,Yes,No,Low,4,High,A
21,M,College,30000,C,88,Low,19,Law,Public,Medium,High,No,Medium,Low,High,Negative,Low,49,Yes,8,Unhealthy,Low,6,Yes,Neutral,Yes,Yes,Auditory,Yes,Yes,High,3,High,B
21,M,College,75000,C,84,Medium,10,Science,Public,Medium,Medium,Yes,Medium,Low,Medium,Neutral,High,41,Yes,7,Balanced,Medium,6,Yes,Neutral,No,Yes,Visual,No,Yes,Medium,5,Medium,A
21,M,Some College,75000,B,90,High,19,Law,Public,Medium,Low,No,Low,High,Low,Neutral,Low,26,No,5,Unhealthy,High,8,Yes,Neutral,No,No,Auditory,Yes,Yes,Low,5,High,A
20,F,College,30000,B,79,Medium,13,Arts,Public,Low,Medium,Yes,Low,High,Low,Positive,Medium,80,No,5,Balanced,Low,9,No,Positive,No,Yes,Auditory,Yes,No,Low,3,Low,B
19,M,Graduate,30000,C,75,Medium,5,Business,Private,Medium,High,No,High,Low,Medium,Positive,Medium,61,No,5,Healthy,High,10,Yes,Negative,No,Yes,Visual,No,No,Low,3,High,A
19,M,Graduate,60000,A,81,Medium,7,Law,Public,Medium,Low,No,Medium,Low,Medium,Neutral,Medium,91,Yes,5,Unhealthy,Medium,9,No,Positive,No,Yes,Auditory,Yes,No,Low,1,Medium,B
21,F,Some College,30000,B,94,Medium,17,Arts,Public,High,Low,No,Low,Low,High,Positive,Medium,87,Yes,4,Unhealthy,High,3,Yes,Positive,Yes,No,Visual,Yes,Yes,High,2,Low,B
19,M,Some College,30000,B,81,Medium,15,Engineering,Private,Low,Low,No,Medium,Medium,Medium,Neutral,Low,58,No,4,Healthy,Medium,9,Yes,Negative,No,No,Auditory,No,No,Medium,3,Medium,C
21,M,High School,60000,C,84,High,20,Medicine,Private,Medium,High,No,Medium,Low,Low,Neutral,Low,58,No,7,Unhealthy,High,2,No,Positive,Yes,Yes,Auditory,No,Yes,Medium,5,Low,A
22,F,Some College,75000,B,78,Medium,16,Science,Public,Medium,Low,No,Low,High,High,Neutral,High,79,Yes,5,Balanced,High,6,No,Positive,Yes,No,Kinesthetic,No,No,High,1,High,A
21,M,Graduate,40000,A,85,Low,5,Arts,Private,High,Medium,Yes,Low,High,Medium,Neutral,Medium,92,Yes,8,Healthy,Medium,6,No,Negative,No,No,Auditory,Yes,No,Medium,6,Medium,A
22,M,Some College,40000,A,81,Medium,13,Science,Public,Medium,Low,No,High,Low,High,Negative,Medium,59,No,7,Unhealthy,Medium,6,No,Negative,Yes,No,Visual,No,Yes,Medium,1,Low,A
22,M,Some College,60000,A,71,Medium,7,Medicine,Private,Medium,Medium,No,Medium,High,Medium,Neutral,Low,89,No,8,Unhealthy,High,3,Yes,Negative,Yes,Yes,Visual,No,Yes,Low,1,Low,C
22,M,Graduate,75000,C,72,Medium,11,Science,Private,High,Medium,High,High,Low,Low,Negative,High,71,No,8,Healthy,Medium,9,Yes,Negative,Yes,Yes,Visual,No,Yes,High,3,Low,A
21,M,High School,30000,C,90,Medium,10,Medicine,Private,Medium,Medium,No,High,Medium,High,Neutral,Medium,76,No,9,Balanced,High,4,No,Positive,Yes,No,Visual,Yes,No,Low,5,Low,B
19,M,High School,60000,C,86,High,18,Arts,Public,Medium,Low,No,Low,Medium,High,Positive,High,32,Yes,9,Unhealthy,High,3,Yes,Neutral,Yes,No,Auditory,Yes,No,High,6,Low,B
22,M,Graduate,50000,B,84,Low,7,Law,Public,High,High,No,Low,High,High,Positive,High,94,No,4,Healthy,Medium,5,Yes,Negative,Yes,Yes,Auditory,No,No,High,5,High,C
18,F,Graduate,75000,A,88,Medium,8,Law,Private,Medium,Low,No,High,High,Medium,Negative,High,98,No,7,Unhealthy,Low,9,No,Positive,Yes,Yes,Kinesthetic,Yes,Yes,High,3,Medium,A
20,M,College,50000,B,81,Medium,6,Law,Private,Low,High,Yes,Medium,Medium,Medium,Negative,High,94,Yes,5,Healthy,High,3,No,Neutral,Yes,Yes,Visual,No,Yes,Low,6,Low,B
18,M,Graduate,60000,A,96,Low,8,Medicine,Public,Medium,High,Yes,High,Medium,High,Positive,Medium,24,No,9,Balanced,High,4,Yes,Positive,Yes,No,Auditory,Yes,Yes,Medium,4,Low,B
18,F,Graduate,40000,C,84,Medium,15,Business,Private,Medium,Low,No,Low,Medium,Low,Positive,High,81,Yes,5,Balanced,High,4,No,Positive,Yes,Yes,Visual,Yes,No,High,3,Low,A
22,F,College,30000,A,98,High,9,Business,Private,High,High,No,High,High,Low,Negative,Low,46,No,5,Balanced,High,5,No,Neutral,Yes,No,Visual,No,No,High,3,Medium,A
19,F,High School,40000,A,86,Medium,16,Medicine,Private,High,Low,Yes,Medium,Medium,Low,Positive,High,49,Yes,6,Unhealthy,High,6,No,Negative,No,No,Kinesthetic,Yes,No,Low,1,Low,B
20,F,Graduate,75000,C,75,Medium,17,Medicine,Private,Low,Low,No,Low,Medium,Medium,Positive,Low,55,No,9,Balanced,Medium,7,No,Negative,No,Yes,Visual,No,No,Medium,4,Low,A
21,M,High School,30000,B,76,High,12,Law,Private,Medium,Medium,Yes,Medium,High,Medium,Positive,Low,72,Yes,7,Unhealthy,High,5,No,Neutral,No,No,Auditory,Yes,No,Low,2,Medium,A
22,F,College,75000,A,79,High,16,Business,Private,Medium,Low,Yes,Low,High,Medium,Positive,High,79,Yes,4,Balanced,Low,3,Yes,Negative,Yes,Yes,Visual,No,No,High,3,High,A
22,F,College,50000,B,74,High,18,Medicine,Private,Low,Low,No,Medium,High,High,Positive,High,39,No,6,Healthy,Low,3,Yes,Negative,No,No,Visual,Yes,No,Medium,6,High,A
19,F,Graduate,50000,C,97,Medium,17,Law,Public,High,High,Yes,Low,Medium,Low,Negative,Medium,68,No,6,Unhealthy,Medium,5,No,Negative,No,Yes,Kinesthetic,No,No,High,5,Medium,B
19,M,Graduate,50000,B,88,High,9,Law,Public,Low,Medium,Yes,High,Low,Low,Positive,Medium,27,No,8,Balanced,Low,3,No,Positive,No,No,Visual,No,No,High,3,Low,C
18,M,College,60000,B,86,Medium,5,Business,Public,Low,High,No,Low,Low,High,Negative,Medium,45,No,9,Healthy,Medium,10,No,Neutral,No,Yes,Visual,No,No,Low,3,Low,B
22,F,Some College,50000,B,81,High,17,Business,Private,Low,Low,No,Low,High,Medium,Neutral,Low,47,Yes,9,Unhealthy,High,5,Yes,Negative,No,No,Auditory,Yes,Yes,Medium,5,High,B
20,M,College,40000,B,78,High,5,Science,Public,Medium,High,Yes,Low,Low,Medium,Neutral,High,55,Yes,4,Balanced,High,10,Yes,Negative,No,Yes,Kinesthetic,No,No,High,6,Low,C
22,F,College,60000,C,94,Low,16,Business,Private,Low,Low,No,Low,Medium,High,Neutral,High,84,No,5,Unhealthy,Medium,7,No,Positive,Yes,Yes,Auditory,No,Yes,Low,5,High,A
19,M,High School,30000,C,72,High,18,Business,Public,High,Low,No,Medium,Medium,Medium,Neutral,High,39,No,5,Unhealthy,High,2,Yes,Negative,Yes,Yes,Visual,No,Yes,High,2,Medium,B
19,F,Some College,50000,A,88,High,5,Business,Private,Medium,Low,No,High,Low,High,Negative,High,86,No,5,Healthy,Low,10,Yes,Positive,No,No,Visual,No,No,High,6,Medium,B
20,M,Some College,40000,C,93,Low,8,Law,Public,Low,Medium,No,High,High,Low,Positive,High,58,Yes,8,Balanced,Medium,2,No,Positive,No,No,Auditory,Yes,No,Low,2,Medium,A
22,F,Some College,30000,B,92,Low,7,Law,Public,High,Medium,No,Low,Low,Medium,Neutral,Medium,41,Yes,4,Unhealthy,Low,2,No,Neutral,No,No,Kinesthetic,Yes,Yes,High,2,High,B
19,M,Graduate,50000,B,95,High,12,Arts,Private,High,Low,Yes,High,Medium,Medium,Negative,Low,44,Yes,7,Balanced,High,6,Yes,Neutral,No,Yes,Auditory,Yes,Yes,High,2,High,C
22,F,Some College,60000,A,70,Low,19,Medicine,Public,Medium,High,Yes,Low,Medium,High,Neutral,Medium,99,Yes,5,Balanced,High,9,Yes,Positive,Yes,Yes,Visual,Yes,Yes,High,6,High,A
21,M,Some College,75000,C,88,Low,17,Arts,Public,Medium,Low,No,Low,Low,High,Negative,Medium,47,Yes,7,Unhealthy,Medium,6,Yes,Negative,Yes,No,Auditory,Yes,Yes,High,4,Medium,B
18,M,High School,50000,C,77,Low,8,Medicine,Public,High,High,No,Medium,Low,Medium,Positive,Medium,61,No,5,Balanced,High,8,Yes,Positive,Yes,Yes,Auditory,Yes,No,Medium,2,High,B
19,M,Some College,60000,C,97,High,17,Engineering,Public,High,Medium,High,Low,High,Low,Negative,High,46,No,7,Balanced,Medium,9,Yes,Neutral,No,Yes,Auditory,Yes,Yes,Medium,2,Low,B
19,F,High School,60000,C,95,Medium,7,Engineering,Public,High,Low,Yes,Low,Medium,Low,Positive,Medium,80,No,5,Unhealthy,Low,9,Yes,Positive,Yes,No,Auditory,No,Yes,Medium,4,Medium,B
18,M,High School,40000,B,72,Medium,16,Medicine,Public,High,Low,No,Medium,Medium,High,Negative,High,90,No,6,Balanced,Low,4,No,Neutral,Yes,Yes,Auditory,Yes,No,Medium,6,Low,A
22,F,Some College,30000,A,94,Medium,16,Law,Public,Medium,Low,High,Low,High,Medium,Negative,Medium,25,No,5,Balanced,High,5,No,Positive,Yes,No,Kinesthetic,Yes,No,Medium,3,Low,C
22,M,Graduate,50000,B,71,Medium,18,Science,Private,Low,Medium,No,Low,Medium,High,Positive,High,54,Yes,5,Unhealthy,High,6,No,Positive,No,Yes,Visual,No,Yes,Medium,1,High,B
20,M,Graduate,40000,B,81,Low,16,Medicine,Public,Low,Low,No,High,High,Low,Negative,High,41,No,6,Healthy,Medium,6,Yes,Negative,No,Yes,Kinesthetic,Yes,No,Low,4,Low,C
20,F,Graduate,40000,A,81,Low,10,Arts,Private,Medium,Medium,High,Medium,Low,Medium,Neutral,High,75,No,8,Healthy,Low,3,No,Negative,No,No,Auditory,No,No,Medium,6,Medium,A
22,F,College,40000,B,70,Medium,11,Engineering,Private,High,Medium,Yes,High,High,High,Positive,High,51,No,7,Unhealthy,Medium,3,No,Neutral,Yes,Yes,Auditory,No,Yes,Low,1,Medium,C
19,F,College,60000,C,91,Medium,17,Business,Private,Low,Low,Yes,High,Medium,Medium,Negative,Low,69,Yes,7,Unhealthy,High,6,No,Negative,Yes,No,Auditory,Yes,No,High,5,High,A
22,F,College,40000,B,86,High,14,Law,Private,Low,High,No,High,Medium,Medium,Neutral,High,30,Yes,8,Healthy,High,9,Yes,Neutral,Yes,No,Auditory,Yes,No,Medium,2,High,B
18,M,College,40000,B,94,High,19,Business,Public,Low,Low,No,High,Medium,High,Positive,High,94,Yes,5,Unhealthy,Medium,6,Yes,Neutral,No,Yes,Kinesthetic,No,No,Medium,5,Medium,A
20,M,High School,40000,A,71,Low,17,Science,Public,High,Medium,No,High,Low,High,Negative,Medium,75,No,5,Unhealthy,High,5,No,Negative,No,Yes,Kinesthetic,Yes,Yes,Medium,5,Low,A
19,M,College,40000,B,98,Medium,19,Arts,Public,Medium,Medium,No,High,Medium,Medium,Neutral,High,72,No,9,Balanced,Low,6,Yes,Positive,No,Yes,Visual,Yes,No,Low,3,Medium,A
20,F,High School,60000,A,70,Medium,13,Engineering,Public,High,Medium,Yes,High,High,High,Neutral,High,78,No,6,Unhealthy,High,3,Yes,Neutral,No,Yes,Auditory,Yes,No,Medium,2,Low,B
21,M,College,60000,B,98,Medium,20,Medicine,Private,High,Low,Yes,Medium,Low,High,Negative,High,27,No,5,Balanced,Low,6,Yes,Positive,No,Yes,Kinesthetic,Yes,Yes,Low,1,Low,A
21,M,Graduate,30000,B,97,Medium,20,Engineering,Private,Low,Low,No,High,Medium,High,Positive,Low,41,No,5,Balanced,High,3,No,Positive,No,No,Kinesthetic,Yes,Yes,Low,1,High,A
